"Caracteristica ","Frecuencia (n) ","Porciento (%6) ",
"Municipios de residencia ","","",
"Aguada ","1 ","0.3 ",
"Aguadilla ","2 ","0.6 ",
"Aguas Buenas ","8 ","2.5 ",
"Aibonito ","2 ","0.6 ",
"Ahasco ","4 ","1.3 ",
"Arecibo ","6 ","1.9 ",
"Barranquitas ","2 ","0.6 ",
"Bayamon ","25 ","7.9 ",
"Cabo Rojo ","4 ","13 ",
"Caguas ","18 ","5.7 ",
"Canovanas ","3 ","1.0 ",
"Carolina ","21 ","6.7 ",
"Catafio ","4 ","13 ",
"Cayey ","1 ","0.3 ",
"Ceiba ","3 ","1.0 ",
"Cidra ","4 ","1.3 ",
"Corozal ","2 ","0.6 ",
"Dorado ","7 ","2.2 ",
"Guanica ","2 ","0.6 ",
"Guayama ","1 ","0.3 ",
"Guaynabo ","26 ","8.3 ",
"Gurabo ","3 ","1.0 ",
"Hatillo ","3 ","1.0 ",
"Hormigueros ","4 ","1.3 ",
"Humacao ","1 ","0.3 ",
"Isabeta ","5 ","1.6 ",
"Juana Diaz ","12 ","3.8 ",
"Juncos ","1 ","0.3 ",
"Lajas ","1 ","0.3 ",
"Lares ","1 ","0.3 ",
"Las Piedras ","2 ","0.6 ",
"Loiza ","1 ","0.3 ",
"Luquillo ","4 ","13 ",
"Manati ","2 ","0.6 ",
"Maunabo ","2 ","0.6 ",
"Mayagdez ","12 ","3.8 ",
"Moca ","1 ","0.3 ",
"Ponce ","5 ","1.6 ",
"Quebradillas ","2 ","0.6 ",
"Rio Grande ","2 ","0.6 ",
"Sabana Grande ","3 ","1.0 ",
"Salinas ","1 ","0.3 ",
"San German ","4 ","13 ",
"San Juan ","50 ","15.9 ",
"San Lorenzo ","2 ","0.6 ",
"San Sebastian ","5 ","16 ",
"Toa Alta ","8 ","25 ",
"Toa Baja ","9 ","2.9 ",
"Trujllo Alto ","6 ","1.9 ",
"Vera Alta ","6 ","19 ",
"Vega Baja ","3 ","1.0 ",
"Villalba ","1 ","0.3 ",
"Yabucoa ","1 ","0.3 ",
"Yauco ","6 ","19 ",
"Nueva York ","4 ","",
