"Grupo de edad ","","Femenino ","","Masculino ","Total ","",
"(afos) ","n ","% ","n ","% ","n ","% ",
"< 10 ","3 ","0.9 ","4 ","1.1 ","7 ","1.0 ",
"10-19 ","13 ","3.7 ","11 ","2.9 ","24 ","3.3 ",
"20-29 ","49 ","14.1 ","48 ","12.8 ","97 ","13.4 ",
"30-39 ","61 ","17.5 ","46 ","12.3 ","107 ","14.8 ",
"40-49 ","53 ","15.2 ","70 ","18.7 ","123 ","17.0 ",
"50-59 ","87 ","25.0 ","78 ","20.9 ","165 ","22.9 ",
"60-69 ","48 ","13.8 ","64 ","17.1 ","112 ","15.5 ",
"70-79 ","18 ","5.2 ","37 ","9.9 ","55 ","7.6 ",
"> 80 ","16 ","4.6 ","16 ","4.3 ","32 ","4.4 ",
"No disponible ","1 ","","2 ","","3 ","- ",
"Total ","349 ","100.0 ","374 ","100.0 ","725 ","100.0 ",
